ID;Especie;Latitude;Longitude;Data;Geraci;Semana
1;Puffinus puffinus;-30,333436;-50,263792;29/06/2012;NA;27
2;Puffinus puffinus;-30,035278;-50,144687;12/07/2012;NA;29
3;Puffinus puffinus;-30,06819;-50,15905;12/07/2012;NA;29
4;Puffinus puffinus;-29,931604;-50,098831;13/09/2012;NA;38
5;Puffinus puffinus;-29,929335;-50,097347;13/09/2012;NA;38
6;Puffinus puffinus;-29,920551;-50,093322;13/09/2012;NA;38
7;Puffinus puffinus;-29,951243;-50,107553;13/09/2012;2;38
8;Puffinus puffinus;-29,928382;-50,096766;13/09/2012;2;38
9;Puffinus puffinus;-29,882877;-50,075268;13/09/2012;NA;38
10;Puffinus puffinus;-29,792107;-50,028694;13/09/2012;NA;38
11;Puffinus puffinus;-29,845087;-50,057093;13/09/2012;NA;38
12;Puffinus puffinus;-29,841885;-50,055261;13/09/2012;NA;38
13;Puffinus puffinus;-29,836767;-50,052682;13/09/2012;NA;38
14;Puffinus puffinus;-29,7879;-50,026369;13/09/2012;NA;38
15;Puffinus puffinus;-29,836767;-50,052682;13/09/2012;2;38
16;Puffinus puffinus;-29,685095;-49,970192;13/09/2012;NA;38
17;Puffinus puffinus;-29,489418;-49,839271;13/09/2012;NA;38
18;Puffinus puffinus;-29,367059;-49,742985;13/09/2012;NA;38
19;Puffinus puffinus;-29,358905;-49,736069;13/09/2012;2;38
20;Puffinus puffinus;-30,112087;-50,177571;04/10/2012;NA;41
21;Puffinus puffinus;-30,119635;-50,180085;04/10/2012;NA;41
22;Puffinus puffinus;-29,931604;-50,098831;11/10/2012;NA;42
23;Puffinus puffinus;-29,65845;-49,954369;11/10/2012;3;42
24;Puffinus puffinus;-29,474573;-49,827808;11/10/2012;NA;42
25;Puffinus puffinus;-29,466696;-49,821669;11/10/2012;2;42
26;Puffinus puffinus;-30,056836;-50,154061;16/10/2012;NA;43
27;Puffinus puffinus;-30,062231;-50,156492;16/10/2012;NA;43
28;Puffinus puffinus;-30,065343;-50,157847;16/10/2012;NA;43
29;Puffinus puffinus;-30,369163;-50,277672;16/10/2012;NA;43
30;Puffinus puffinus;-29,895106;-50,080805;31/10/2012;3;45
31;Puffinus puffinus;-29,878504;-50,072673;31/10/2012;3;45
32;Puffinus puffinus;-29,853432;-50,060997;31/10/2012;2;45
33;Puffinus puffinus;-30,056836;-50,154061;06/11/2012;NA;46
34;Puffinus puffinus;-30,062231;-50,156492;06/11/2012;NA;46
35;Puffinus puffinus;-30,065343;-50,157847;06/11/2012;NA;46
36;Puffinus puffinus;-30,04504;-50,14914;06/11/2012;NA;46
37;Puffinus puffinus;-30,072144;-50,160791;06/11/2012;2;46
38;Puffinus puffinus;-30,072144;-50,160791;06/11/2012;3;46
39;Puffinus puffinus;-30,029717;-50,14231;06/11/2012;NA;46
40;Puffinus puffinus;-30,100383;-50,172866;06/11/2012;NA;46
41;Puffinus puffinus;-30,101438;-50,173144;06/11/2012;NA;46
42;Puffinus puffinus;-30,103833;-50,174041;06/11/2012;NA;46
43;Puffinus puffinus;-30,104748;-50,174639;06/11/2012;NA;46
44;Puffinus puffinus;-30,109873;-50,176204;06/11/2012;NA;46
45;Puffinus puffinus;-30,099241;-50,172408;06/11/2012;NA;46
46;Puffinus puffinus;-30,097747;-50,171195;06/11/2012;2;46
47;Puffinus puffinus;-30,114665;-50,178113;06/11/2012;2;46
48;Puffinus puffinus;-30,241431;-50,227275;06/11/2012;NA;46
49;Puffinus puffinus;-30,246228;-50,229289;06/11/2012;NA;46
50;Puffinus puffinus;-30,250038;-50,230827;06/11/2012;NA;46
51;Puffinus puffinus;-30,293362;-50,247585;06/11/2012;2;46
52;Puffinus puffinus;-30,366575;-50,276803;06/11/2012;NA;46
53;Puffinus puffinus;-30,367807;-50,277357;06/11/2012;NA;46
54;Puffinus puffinus;-30,368036;-50,277428;06/11/2012;NA;46
55;Puffinus puffinus;-30,378077;-50,280939;06/11/2012;NA;46
56;Puffinus puffinus;-30,378864;-50,281052;06/11/2012;NA;46
57;Puffinus puffinus;-30,380843;-50,281745;06/11/2012;NA;46
58;Puffinus puffinus;-30,381292;-50,28228;06/11/2012;NA;46
59;Puffinus puffinus;-30,391714;-50,285328;06/11/2012;NA;46
60;Puffinus puffinus;-30,394913;-50,286511;06/11/2012;NA;46
61;Puffinus puffinus;-30,361215;-50,274403;06/11/2012;2;46
62;Puffinus puffinus;-30,36986;-50,277441;06/11/2012;2;46
63;Puffinus puffinus;-29,940445;-50,102955;14/11/2012;3;47
64;Puffinus puffinus;-29,935584;-50,100421;14/11/2012;3;47
65;Puffinus puffinus;-29,935584;-50,100421;14/11/2012;4;47
66;Puffinus puffinus;-29,935584;-50,100421;14/11/2012;2;47
67;Puffinus puffinus;-29,918943;-50,092493;14/11/2012;4;47
68;Puffinus puffinus;-29,910633;-50,088451;14/11/2012;4;47
69;Puffinus puffinus;-29,910633;-50,088451;14/11/2012;3;47
70;Puffinus puffinus;-29,843985;-50,056668;14/11/2012;1;47
71;Puffinus puffinus;-30,01276;-50,135006;21/11/2012;4;48
72;Puffinus puffinus;-30,071497;-50,160775;21/11/2012;NA;48
73;Puffinus puffinus;-30,07714;-50,163323;21/11/2012;NA;48
74;Puffinus puffinus;-30,089321;-50,168105;21/11/2012;NA;48
75;Puffinus puffinus;-30,091683;-50,169363;21/11/2012;NA;48
76;Puffinus puffinus;-30,100175;-50,172655;21/11/2012;NA;48
77;Puffinus puffinus;-30,100383;-50,172866;21/11/2012;NA;48
78;Puffinus puffinus;-30,103833;-50,174041;21/11/2012;NA;48
79;Puffinus puffinus;-30,104748;-50,174639;21/11/2012;NA;48
80;Puffinus puffinus;-30,104774;-50,174812;21/11/2012;NA;48
81;Puffinus puffinus;-30,108077;-50,17592;21/11/2012;NA;48
82;Puffinus puffinus;-30,112892;-50,177923;21/11/2012;NA;48
83;Puffinus puffinus;-30,116258;-50,179096;21/11/2012;NA;48
84;Puffinus puffinus;-30,118416;-50,179792;21/11/2012;NA;48
85;Puffinus puffinus;-30,250168;-50,23073;21/11/2012;NA;48
86;Puffinus puffinus;-30,252809;-50,231808;21/11/2012;NA;48
87;Puffinus puffinus;-30,340734;-50,266977;21/11/2012;NA;48
88;Puffinus puffinus;-30,347446;-50,269749;21/11/2012;NA;48
89;Puffinus puffinus;-29,654562;-49,952311;27/11/2012;NA;49
90;Puffinus puffinus;-30,052602;-50,152629;04/12/2012;NA;50
91;Puffinus puffinus;-30,135515;-50,186681;04/12/2012;NA;50
92;Puffinus puffinus;-30,324551;-50,260594;04/12/2012;NA;50
93;Puffinus puffinus;-29,400148;-49,76913;18/07/2013;3;29
94;Puffinus puffinus;-30,3784945;-50,2803989;19/09/2013;NA;38
95;Puffinus puffinus;-29,9200638;-50,092745;27/09/2013;3;39
96;Puffinus puffinus;-29,8617325;-50,0651341;27/09/2013;2;39
97;Puffinus puffinus;-50,1681041;-30,1035597;02/10/2013;2;40
98;Puffinus puffinus;-29,6744456;-49,963869;10/10/2013;3;41
99;Puffinus puffinus;-29,4075746;-49,7750036;10/10/2013;4;41
100;Puffinus puffinus;-30,0044591;-50,130932;16/10/2013;2;42
101;Puffinus puffinus;-30,0807558;-50,1641401;16/10/2013;5;42
102;Puffinus puffinus;-30,2169043;-50,2170882;16/10/2013;4;42
103;Puffinus puffinus;-30,2593257;-50,2338767;16/10/2013;2;42
104;Puffinus puffinus;-30,301824;-50,2509822;16/10/2013;4;42
105;Puffinus puffinus;-30,3103319;-50,2545008;16/10/2013;4;42
106;Puffinus puffinus;-30,3273399;-50,2611277;16/10/2013;2;42
107;Puffinus puffinus;-30,3357988;-50,2643966;16/10/2013;2;42
108;Puffinus puffinus;-30,3612146;-50,2744031;16/10/2013;3;42
109;Puffinus puffinus;-30,3869764;-50,2835908;16/10/2013;4;42
110;Puffinus puffinus;-30,3926151;-50,2850424;16/10/2013;2;42
111;Puffinus puffinus;-30,3926151;-50,2850424;16/10/2013;4;42
112;Puffinus puffinus;-29,953295;-50,108712;25/10/2013;2;43
113;Puffinus puffinus;-29,9449364;-50,1049566;25/10/2013;2;43
114;Puffinus puffinus;-29,9366716;-50,100819;25/10/2013;4;43
115;Puffinus puffinus;-29,9283817;-50,0967662;25/10/2013;2;43
116;Puffinus puffinus;-29,8367667;-50,0526824;25/10/2013;3;43
117;Puffinus puffinus;-29,8123926;-50,0395054;25/10/2013;4;43
118;Puffinus puffinus;-29,7147631;-49,9865563;25/10/2013;2;43
119;Puffinus puffinus;-29,6986066;-49,9774709;25/10/2013;5;43
120;Puffinus puffinus;-30,0128548;-50,1347817;30/10/2013;4;44
121;Puffinus puffinus;-30,0128548;-50,1347817;30/10/2013;4;44
122;Puffinus puffinus;-30,0807558;-50,1641401;30/10/2013;2;44
123;Puffinus puffinus;-30,0807558;-50,1641401;30/10/2013;3;44
124;Puffinus puffinus;-30,1062352;-50,1746676;30/10/2013;3;44
125;Puffinus puffinus;-30,1062352;-50,1746676;30/10/2013;3;44
126;Puffinus puffinus;-30,1062352;-50,1746676;30/10/2013;3;44
127;Puffinus puffinus;-30,1062352;-50,1746676;30/10/2013;5;44
128;Puffinus puffinus;-30,1146648;-50,1781126;30/10/2013;4;44
129;Puffinus puffinus;-30,1146648;-50,1781126;30/10/2013;4;44
130;Puffinus puffinus;-30,1146648;-50,1781126;30/10/2013;4;44
131;Puffinus puffinus;-30,1231041;-50,1813319;30/10/2013;2;44
132;Puffinus puffinus;-30,131641;-50,1848114;30/10/2013;3;44
133;Puffinus puffinus;-30,131641;-50,1848114;30/10/2013;4;44
134;Puffinus puffinus;-30,131641;-50,1848114;30/10/2013;3;44
135;Puffinus puffinus;-30,131641;-50,1848114;30/10/2013;2;44
136;Puffinus puffinus;-30,131641;-50,1848114;30/10/2013;3;44
137;Puffinus puffinus;-30,1572759;-50,1943869;30/10/2013;4;44
138;Puffinus puffinus;-30,1572759;-50,1943869;30/10/2013;2;44
139;Puffinus puffinus;-30,1572759;-50,1943869;30/10/2013;4;44
140;Puffinus puffinus;-30,1572759;-50,1943869;30/10/2013;3;44
141;Puffinus puffinus;-30,1657438;-50,1977459;30/10/2013;3;44
142;Puffinus puffinus;-29,953295;-50,108712;08/11/2013;2;45
143;Puffinus puffinus;-29,9116543;-50,0889736;08/11/2013;2;45
144;Puffinus puffinus;-29,8534323;-50,0609965;08/11/2013;2;45
145;Puffinus puffinus;-30,1146648;-50,1781126;13/11/2013;4;46
146;Puffinus puffinus;-30,131641;-50,1848114;13/11/2013;4;46
147;Puffinus puffinus;-30,1487733;-50,1909866;13/11/2013;4;46
148;Puffinus puffinus;-30,1572759;-50,1943869;13/11/2013;4;46
149;Puffinus puffinus;-30,1572759;-50,1943869;13/11/2013;4;46
150;Puffinus puffinus;-30,1572759;-50,1943869;13/11/2013;4;46
151;Puffinus puffinus;-30,1572759;-50,1943869;13/11/2013;4;46
152;Puffinus puffinus;-30,1572759;-50,1943869;13/11/2013;4;46
153;Puffinus puffinus;-30,1572759;-50,1943869;13/11/2013;4;46
154;Puffinus puffinus;-30,1572759;-50,1943869;13/11/2013;4;46
155;Puffinus puffinus;-30,1572759;-50,1943869;13/11/2013;4;46
156;Puffinus puffinus;-30,1572759;-50,1943869;13/11/2013;4;46
157;Puffinus puffinus;-30,1657438;-50,1977459;13/11/2013;3;46
