ID;Especie;Latitude;Longitude;Data;Geraci;Semana
7331;Spheniscus magellanicus;-30,106235;-50,174668;15/06/2012;2;34
7729;Spheniscus magellanicus;-30,114665;-50,178113;15/06/2012;2;34
8433;Spheniscus magellanicus;-30,131641;-50,184811;15/06/2012;2;34
8693;Spheniscus magellanicus;-30,140126;-50,187854;15/06/2012;2;40
9439;Spheniscus magellanicus;-30,170819;-50,199478;15/06/2012;NA;23
9814;Spheniscus magellanicus;-30,191319;-50,207466;15/06/2012;2;46
9815;Spheniscus magellanicus;-30,191319;-50,207466;15/06/2012;2;46
10194;Spheniscus magellanicus;-30,211526;-50,215404;15/06/2012;NA;24
11068;Spheniscus magellanicus;-30,259326;-50,233877;15/06/2012;2;34
12290;Spheniscus magellanicus;-30,32734;-50,261128;15/06/2012;1;24
69;Spheniscus magellanicus;-29,361799;-49,738696;22/06/2012;NA;26
70;Spheniscus magellanicus;-29,361799;-49,738696;22/06/2012;NA;26
71;Spheniscus magellanicus;-29,361799;-49,738696;22/06/2012;NA;26
72;Spheniscus magellanicus;-29,361799;-49,738696;22/06/2012;NA;26
73;Spheniscus magellanicus;-29,361799;-49,738696;22/06/2012;NA;26
74;Spheniscus magellanicus;-29,361799;-49,738696;22/06/2012;NA;26
75;Spheniscus magellanicus;-29,361799;-49,738696;22/06/2012;NA;26
76;Spheniscus magellanicus;-29,361799;-49,738696;22/06/2012;NA;26
77;Spheniscus magellanicus;-29,361799;-49,738696;22/06/2012;NA;26
78;Spheniscus magellanicus;-29,361799;-49,738696;22/06/2012;NA;26
79;Spheniscus magellanicus;-29,361799;-49,738696;22/06/2012;NA;26
80;Spheniscus magellanicus;-29,361799;-49,738696;22/06/2012;NA;26
81;Spheniscus magellanicus;-29,361799;-49,738696;22/06/2012;NA;26
82;Spheniscus magellanicus;-29,361799;-49,738696;22/06/2012;NA;26
83;Spheniscus magellanicus;-29,361799;-49,738696;22/06/2012;NA;26
257;Spheniscus magellanicus;-29,39234;-49,764255;22/06/2012;1;26
