ID;Especie;Latitude;Longitude;Data;Geraci;Semana
1;Thalassarche chlororhynchos;-29,845083;-50,056884;16/08/2012;3;34
2;Thalassarche chlororhynchos;-29,563495;-49,892918;13/09/2012;NA;38
3;Thalassarche chlororhynchos;-30,131641;-50,184811;16/10/2012;3;43
4;Thalassarche chlororhynchos;-30,352738;-50,271151;06/11/2012;3;46
5;Thalassarche chlororhynchos;-29,426121;-49,791444;14/11/2012;3;47
6;Thalassarche chlororhynchos;-29,410185;-49,778342;14/11/2012;3;47
7;Thalassarche chlororhynchos;-30,121854;-50,181193;21/11/2012;NA;48
8;Thalassarche chlororhynchos;-30,121869;-50,181255;21/11/2012;NA;48
9;Thalassarche chlororhynchos;-30,208185;-50,214457;21/11/2012;4;48
10;Thalassarche chlororhynchos;-30,349511;-50,270457;21/11/2012;NA;48
11;Thalassarche chlororhynchos;-30,366575;-50,276803;21/11/2012;NA;48
12;Thalassarche chlororhynchos;-30,252809;-50,231808;04/12/2012;NA;50
13;Thalassarche chlororhynchos;-30,124515;-50,182387;16/05/2013;5;20
14;Thalassarche chlororhynchos;-30,31031;-50,25487;27/06/2013;NA;26
15;Thalassarche chlororhynchos;-30,358;-50,27361;27/06/2013;NA;26
16;Thalassarche chlororhynchos;-29,86935;-50,0689;01/08/2013;3;31
17;Thalassarche chlororhynchos;-30,123104;-50,181332;21/08/2013;4;34
18;Thalassarche chlororhynchos;-29,7066665;-49,9821141;29/08/2013;-;35
19;Thalassarche chlororhynchos;-30,2423962;-50,2270048;04/09/2013;5;36
20;Thalassarche chlororhynchos;-30,3188925;-50,257664;19/09/2013;4;38
21;Thalassarche chlororhynchos;-29,9366716;-50,100819;25/10/2013;3;43
22;Thalassarche chlororhynchos;-29,6348146;-49,9397705;25/10/2013;4;43
23;Thalassarche chlororhynchos;-30,1231041;-50,1813319;30/10/2013;3;44
24;Thalassarche chlororhynchos;-30,1572759;-50,1943869;30/10/2013;4;44
25;Thalassarche chlororhynchos;-30,1146648;-50,1781126;13/11/2013;4;46
26;Thalassarche chlororhynchos;-30,1572759;-50,1943869;13/11/2013;4;46
27;Thalassarche chlororhynchos;-30,1062352;-50,1746676;29/11/2013;4;48
28;Thalassarche chlororhynchos;-30,2933622;-50,2475854;29/11/2013;4;48
29;Thalassarche chlororhynchos;-30,3926151;-50,2850424;29/11/2013;4;48
30;Thalassarche chlororhynchos;-30,1062352;-50,1746676;12/12/2013;2;50
31;Thalassarche chlororhynchos;-30,1828012;-50,2040123;12/12/2013;4;50
32;Thalassarche chlororhynchos;-30,2593257;-50,2338767;12/12/2013;3;50
33;Thalassarche chlororhynchos;-30,2848559;-50,2441233;12/12/2013;3;50
34;Thalassarche chlororhynchos;-30,3357988;-50,2643966;12/12/2013;4;50
35;Thalassarche chlororhynchos;-29,5649839;-49,8933687;18/12/2013;4;51
36;Thalassarche chlororhynchos;-30,114665;-50,178113;07/05/2014;4;19
37;Thalassarche chlororhynchos;-30,148773;-50,190987;07/05/2014;4;19
38;Thalassarche chlororhynchos;-30,233955;-50,223488;07/05/2014;4;19
39;Thalassarche chlororhynchos;-30,284856;-50,244123;07/05/2014;3;19
40;Thalassarche chlororhynchos;-30,352738;-50,271151;07/05/2014;4;19
41;Thalassarche chlororhynchos;-29,903369;-50,084792;14/05/2014;5;20
42;Thalassarche chlororhynchos;-30,106235;-50,174668;21/05/2014;5;21
43;Thalassarche chlororhynchos;-30,233955;-50,223488;21/05/2014;5;21
44;Thalassarche chlororhynchos;-29,869974;-50,069223;28/05/2014;3;22
45;Thalassarche chlororhynchos;-30,259326;-50,233877;18/06/2014;5;25
46;Thalassarche chlororhynchos;-30,361215;-50,274403;18/06/2014;4;25
47;Thalassarche chlororhynchos;-30,131641;-50,184811;09/07/2014;4;28
48;Thalassarche chlororhynchos;-30,259326;-50,233877;22/07/2014;3;30
49;Thalassarche chlororhynchos;-30,174317;-50,200733;06/08/2014;4;32
50;Thalassarche chlororhynchos;-30,06372;-50,156973;20/08/2014;4;34
51;Thalassarche chlororhynchos;-30,06372;-50,156973;20/08/2014;4;34
52;Thalassarche chlororhynchos;-30,114665;-50,178113;20/08/2014;5;34
53;Thalassarche chlororhynchos;-29,895106;-50,080805;07/10/2014;4;41
54;Thalassarche chlororhynchos;-30,182801;-50,204012;13/10/2014;3;42
55;Thalassarche chlororhynchos;-30,165744;-50,197746;30/10/2014;4;44
56;Thalassarche chlororhynchos;-30,267865;-50,237134;30/10/2014;4;44
57;Thalassarche chlororhynchos;-29,953295;-50,108712;14/11/2014;5;46
58;Thalassarche chlororhynchos;-29,953295;-50,108712;14/11/2014;5;46
59;Thalassarche chlororhynchos;-30,094703;-50,170184;20/11/2014;3;47
60;Thalassarche chlororhynchos;-30,25086;-50,230429;01/12/2014;4;49
61;Thalassarche chlororhynchos;-30,106235;-50,174668;17/12/2014;3;51
62;Thalassarche chlororhynchos;-30,199875;-50,210583;17/12/2014;4;51
63;Thalassarche chlororhynchos;-30,029717;-50,14231;14/04/2015;3;16
64;Thalassarche chlororhynchos;-30,165744;-50,197746;14/04/2015;3;16
65;Thalassarche chlororhynchos;-30,199875;-50,210583;14/04/2015;3;16
66;Thalassarche chlororhynchos;-30,293362;-50,247585;14/04/2015;2;16
67;Thalassarche chlororhynchos;-30,335799;-50,264397;14/04/2015;4;16
68;Thalassarche chlororhynchos;-30,352738;-50,271151;14/04/2015;4;16
69;Thalassarche chlororhynchos;-30,361215;-50,274403;14/04/2015;4;16
70;Thalassarche chlororhynchos;-30,06372;-50,156973;29/04/2015;4;18
71;Thalassarche chlororhynchos;-30,097747;-50,171195;29/04/2015;3;18
72;Thalassarche chlororhynchos;-30,097747;-50,171195;29/04/2015;3;18
73;Thalassarche chlororhynchos;-30,293362;-50,247585;29/04/2015;4;18
74;Thalassarche chlororhynchos;-30,361215;-50,274403;29/04/2015;3;18
75;Thalassarche chlororhynchos;-30,392615;-50,285042;29/04/2015;3;18
76;Thalassarche chlororhynchos;-30,123104;-50,181332;12/05/2015;4;20
77;Thalassarche chlororhynchos;-30,157276;-50,194387;12/05/2015;3;20
78;Thalassarche chlororhynchos;-30,199875;-50,210583;12/05/2015;2;20
79;Thalassarche chlororhynchos;-30,208346;-50,213969;12/05/2015;4;20
80;Thalassarche chlororhynchos;-30,216904;-50,217088;12/05/2015;4;20
81;Thalassarche chlororhynchos;-30,233955;-50,223488;12/05/2015;4;20
82;Thalassarche chlororhynchos;-30,276352;-50,240708;12/05/2015;4;20
83;Thalassarche chlororhynchos;-30,276352;-50,240708;12/05/2015;4;20
84;Thalassarche chlororhynchos;-30,284856;-50,244123;12/05/2015;4;20
85;Thalassarche chlororhynchos;-30,318893;-50,257664;12/05/2015;4;20
86;Thalassarche chlororhynchos;-30,335799;-50,264397;12/05/2015;2;20
87;Thalassarche chlororhynchos;-30,352738;-50,271151;12/05/2015;3;20
88;Thalassarche chlororhynchos;-30,36986;-50,277441;12/05/2015;3;20
89;Thalassarche chlororhynchos;-30,386976;-50,283591;12/05/2015;3;20
90;Thalassarche chlororhynchos;-30,392615;-50,285042;12/05/2015;4;20
91;Thalassarche chlororhynchos;-30,208346;-50,213969;12/05/2015;4;20
92;Thalassarche chlororhynchos;-30,361215;-50,274403;12/05/2015;3;20
93;Thalassarche chlororhynchos;-29,88676;-50,076761;22/05/2015;4;21
94;Thalassarche chlororhynchos;-29,836767;-50,052682;22/05/2015;4;21
95;Thalassarche chlororhynchos;-30,06372;-50,156973;01/06/2015;4;23
96;Thalassarche chlororhynchos;-30,072144;-50,160791;01/06/2015;4;23
97;Thalassarche chlororhynchos;-30,072144;-50,160791;01/06/2015;4;23
98;Thalassarche chlororhynchos;-30,097747;-50,171195;01/06/2015;4;23
99;Thalassarche chlororhynchos;-30,097747;-50,171195;01/06/2015;4;23
100;Thalassarche chlororhynchos;-30,106235;-50,174668;01/06/2015;4;23
101;Thalassarche chlororhynchos;-30,106235;-50,174668;01/06/2015;4;23
102;Thalassarche chlororhynchos;-30,123104;-50,181332;01/06/2015;4;23
103;Thalassarche chlororhynchos;-30,123104;-50,181332;01/06/2015;4;23
104;Thalassarche chlororhynchos;-30,140126;-50,187854;01/06/2015;3;23
105;Thalassarche chlororhynchos;-30,157276;-50,194387;01/06/2015;4;23
106;Thalassarche chlororhynchos;-30,199875;-50,210583;01/06/2015;4;23
107;Thalassarche chlororhynchos;-30,310332;-50,254501;01/06/2015;4;23
108;Thalassarche chlororhynchos;-30,386976;-50,283591;01/06/2015;4;23
109;Thalassarche chlororhynchos;-30,267865;-50,237134;08/06/2015;3;24
110;Thalassarche chlororhynchos;-30,114665;-50,178113;21/08/2015;4;34
111;Thalassarche chlororhynchos;-30,276352;-50,240708;21/08/2015;4;34
112;Thalassarche chlororhynchos;-30,335799;-50,264397;21/08/2015;4;34
113;Thalassarche chlororhynchos;-30,106235;-50,174668;18/11/2015;4;47
114;Thalassarche chlororhynchos;-30,182801;-50,204012;18/11/2015;3;47
115;Thalassarche chlororhynchos;-29,928382;-50,096766;09/12/2015;5;50
116;Thalassarche chlororhynchos;-29,88676;-50,076761;09/12/2015;4;50
117;Thalassarche chlororhynchos;-29,88676;-50,076761;09/12/2015;4;50
118;Thalassarche chlororhynchos;-29,869974;-50,069223;09/12/2015;4;50
