Nome: TORRES;;;;;;;;;;
Codigo Estacao: A808;;;;;;;;;;
Latitude: -29.35027777;;;;;;;;;;
Longitude: -49.73333333;;;;;;;;;;
Altitude: 8.44;;;;;;;;;;
Situacao: Operante;;;;;;;;;;
Data Inicial: 2011-01-01;;;;;;;;;;
Data Final: 2023-12-31;;;;;;;;;;
Periodicidade da Medicao: Diaria;;;;;;;;;;
;;;;;;;;;;
Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)
01/01/2011;0;1010.1;20.2;26.3;23.5;19.2;82.4;70;6.7;2.2
02/01/2011;0;1008.6;21;27;23.6;20.4;85.5;72;12.5;3.3
03/01/2011;19.4;1007.5;21.4;26.7;23;21.2;90.8;80;10.2;2
04/01/2011;10.8;1005.7;21.6;26.9;24.1;21.4;86.6;76;8.2;2.4
05/01/2011;0;1007.8;22.6;27.5;24.7;22.3;87.8;80;6.8;2.5
06/01/2011;.2;1008.2;22.7;27.3;24.3;22.3;90.8;81;5.7;1.5
07/01/2011;10;1009.9;22.6;28.7;24.8;21.9;88.1;76;5.7;1.8
08/01/2011;0;1009.7;23;27.7;24.6;22;91.1;84;7.8;2.3
09/01/2011;.4;1007.3;22.7;28.5;24.7;20.4;88.9;76;8.1;2.1
10/01/2011;.8;1007.8;22.2;27.8;25;23.9;84.8;71;9.1;3.2
11/01/2011;0;1005.8;20.9;27.2;24.3;23.2;81.5;71;9;3.2
12/01/2011;15.2;1003.3;20.7;25.4;22.9;21.3;87.6;77;11.4;2.2
13/01/2011;33.4;1004.4;21.3;27.2;23.7;19.6;86.5;73;9.6;2.2
14/01/2011;12.2;1007.4;22;28.1;23.8;19.9;89.9;77;5.8;1.9
15/01/2011;0;1009.7;22.5;26.7;24.4;22;89.3;80;8.8;3.2
16/01/2011;0;1006.9;22.1;27.2;24.5;22.7;86;79;10.5;4.1
17/01/2011;0;1006.7;22;29.7;24.9;20.9;84.8;63;11.3;2.1
18/01/2011;0;1010.1;20.9;25.6;22.9;21.1;88.8;75;10.9;2.6
19/01/2011;170.4;1007.2;22.1;27.4;23.3;20.7;93.1;78;7.4;1.6
20/01/2011;0;1007.2;22.3;27.7;24.3;20.7;89.3;77;7;1.8
21/01/2011;3.8;1012;22;27.7;24.6;21.6;85.8;73;7.7;2.5
22/01/2011;8.2;1011.9;22.7;25.3;23.6;23;94.5;80;7.7;2.6
23/01/2011;26.6;1012.1;23.2;27.1;24.3;21.5;93.7;82;7.2;2.5
24/01/2011;0;1012.8;23.1;27.9;24.3;21.5;93.5;80;7.3;1.4
25/01/2011;.2;1010.9;24.1;28.7;25.3;22.4;93.3;85;4.9;1.4
26/01/2011;0;1009.3;23.4;28.8;25.1;21.5;90.8;84;8.6;3
27/01/2011;0;1007.2;24.5;31.5;26.3;23.4;89.8;67;9.4;2
28/01/2011;.8;1008.9;23.6;29.6;25.6;23.5;88.6;79;4.6;1.4
29/01/2011;6;1012.5;24.2;28.2;25.3;23.5;93.8;85;7.7;2.1
30/01/2011;8.4;1014.6;22.2;28.4;25.6;22.3;81.8;72;8.7;2.3
31/01/2011;0;1011.1;21.7;27.6;25.1;22.4;81.9;72;9.4;3.4
01/02/2011;2.2;1009.7;22.5;27.2;24.6;23.6;88.2;79;16.9;3.8
02/02/2011;1.2;1015.1;19.5;27.3;23.9;20.6;76.8;63;10.7;2.8
03/02/2011;0;1013.4;20.2;27.1;24.6;22.5;76.8;64;9.2;2.9
04/02/2011;0;1008;23.1;27.8;25;22.6;89.6;81;8;2.7
05/02/2011;0;1006.3;23.4;29.3;25.2;23.4;89.6;79;6.2;1.7
06/02/2011;2.4;1009.9;23.2;28.4;25.1;22.9;89.7;79;12.3;3
07/02/2011;21.4;1011.9;23.3;28.3;25.7;24;87;79;6.6;2.4
08/02/2011;5.8;1008.8;24;28.1;25.3;23.5;92.7;81;5.9;1.8
09/02/2011;10.4;1004.6;24;28.7;25.3;24.4;92.7;83;14.7;2.7
10/02/2011;13;1005.6;23;26.5;24.5;23.1;91.6;82;12.1;3.6
11/02/2011;2.2;1010.7;21.9;24.4;22.6;21.7;95.6;86;6.6;2
12/02/2011;1;1010;22.9;24.9;23;21.5;99.4;94;5.6;1.4
13/02/2011;13.2;1008;23.8;27.3;24.1;22.2;97.7;89;13.5;3
14/02/2011;12.2;1014.4;21.2;26.7;23.9;20.9;85.4;70;10.7;3.4
15/02/2011;3.2;1016.5;18;25.8;23.9;22.4;69.4;59;10.7;3
16/02/2011;29.4;1016.3;21.2;26.3;23.5;20.2;87.2;70;9.1;3.3
17/02/2011;23.2;1015.7;22.6;28.2;24.9;21;87.4;75;8.2;1.9
18/02/2011;2.2;1014.2;22.7;28.5;25.3;21.3;86;73;7.5;2.4
19/02/2011;0;1012.5;23.2;29.6;25.7;21.8;86.2;66;5.9;1.5
20/02/2011;0;1012.7;23.9;28.7;25.6;24.1;90;79;6;1.9
21/02/2011;4.8;1013.5;23.6;28.2;25.4;23;89.7;80;9;2.9
22/02/2011;.6;1011.6;22.4;26.5;24.1;23;90.3;81;9.4;2.2
23/02/2011;3.2;1009.1;21.7;25.7;23.2;21.4;91.3;82;10.6;2.9
24/02/2011;9;1007.1;22.1;28.1;24.1;21.9;88.7;74;9.3;3.1
25/02/2011;9.6;1009.1;23.1;26.1;24.3;22.8;93;87;8.7;2.5
26/02/2011;11.2;1010;null;26.5;23.3;22;96.8;89;10.9;2.7
27/02/2011;9;1012.9;21.9;25.8;23.4;21.9;91.6;80;10.5;3.8
28/02/2011;0;1014.4;19.6;26.5;23.9;21.9;77.3;63;6.7;3.1
01/03/2011;.2;1015.5;19.2;25.9;22.8;18.9;81;70;9;2.4
02/03/2011;0;1016.7;18.3;26.5;24.1;21.9;70.6;56;10.9;5.3
03/03/2011;0;1017.2;19.4;26.4;23.3;19.2;79.3;70;11.4;3.5
04/03/2011;0;1017;19.5;26.5;22.5;17.2;83.4;71;9.8;2.2
05/03/2011;.4;1017.1;20.3;26.7;23.3;20.6;83.4;70;10.7;3.1
06/03/2011;0;1015.4;19.4;26.5;22.8;17.6;81.5;71;7.4;2.5
07/03/2011;0;1014.9;20.2;26.5;23.2;18.4;83.1;73;7.6;2.8
08/03/2011;0;1015.6;21.1;26.6;23.4;21;87;78;6.9;2.4
09/03/2011;7.2;1013.7;22.1;26.6;23.4;21.1;91.7;79;10.4;2.1
10/03/2011;.2;1013;21.6;24.9;22.4;21.6;94.2;90;11.9;3.4
11/03/2011;5.2;1013.5;20.5;23.4;21;19.3;96.5;88;8.5;3.2
12/03/2011;.2;1011.4;null;23.5;20.7;18.6;null;89;10.8;2.8
13/03/2011;4.4;1007.7;null;24;20.6;17.9;null;90;12.5;2
14/03/2011;.4;1010.6;17.6;22.2;19.9;18.9;86.9;76;11.4;4.4
15/03/2011;0;1015.1;16.9;23.2;19;12.3;87.3;63;6.5;2.2
16/03/2011;0;1016.8;19.3;24;20.6;17.1;92.2;83;6.4;1.9
17/03/2011;0;1012.6;20.2;24.2;22.1;19.4;89.3;82;9.8;3.2
18/03/2011;0;1010.8;20.1;26.3;20.6;19;97.2;81;11.1;3.1
