Nome: TRAMANDAI;;;;;;;;;;
Codigo Estacao: A834;;;;;;;;;;
Latitude: -30.01027777;;;;;;;;;;
Longitude: -50.13583333;;;;;;;;;;
Altitude: 4.56;;;;;;;;;;
Situacao: Operante;;;;;;;;;;
Data Inicial: 2011-01-01;;;;;;;;;;
Data Final: 2023-12-31;;;;;;;;;;
Periodicidade da Medicao: Diaria;;;;;;;;;;
;;;;;;;;;;
Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)
01/01/2011;.4;1010.3;20.2;26.8;24.1;22.1;79.1;68;9.5;5.7
02/01/2011;4.6;1008.9;20.9;26.2;23.2;21.9;87;76;15.1;6.6
03/01/2011;5.4;1008.1;20.7;25.2;23.1;21.5;86.7;80;13.6;7.4
04/01/2011;1.6;1006.1;21.3;27.9;24.3;21.5;83.4;70;10.7;3.2
05/01/2011;0;1007.8;22.6;28.1;25;23;86.3;76;10.4;5
06/01/2011;0;1008.5;22.4;30.8;25.1;22.7;85.2;62;10.9;2.4
07/01/2011;.2;1010.3;22.5;29;25.7;22.3;83.2;68;6.2;2.3
08/01/2011;0;1009.7;23.1;28.5;25.3;23.7;87.5;77;9.2;4.2
09/01/2011;1.2;1007.7;22.6;31.1;25.2;21.7;85.9;57;8.4;2
10/01/2011;.6;1008.5;21;28;25;23.2;78.9;63;9.4;4.2
11/01/2011;0;1006.2;20.2;27.8;24.2;23.7;78.5;65;16;7.1
12/01/2011;24;1003.6;20.3;25.6;23.5;21.1;82.4;76;11.2;5.3
